date,code,year,month,day,rcc,gcc
2019-11-01,jir011,2019,11,1,0.3188035459745729,0.3325442620626273
2019-11-01,jir011,2019,11,1,0.3266395436898417,0.3318791039676433
2019-11-01,jir011,2019,11,1,0.3263499710596226,0.3210255907935724
2019-11-01,jir011,2019,11,1,0.3066603373386675,0.3179340641099746
2019-11-01,jir011,2019,11,1,0.2881185711844781,0.3149246654094231
2019-11-01,jir011,2019,11,1,0.2908248605096525,0.3184110010401071
2019-11-01,jir011,2019,11,1,0.2931766861169049,0.3201953832857337
2019-11-01,jir011,2019,11,1,0.2869279276375968,0.3216480588717055
2019-11-01,jir011,2019,11,1,0.2796695260227627,0.3268336589815955
2019-11-01,jir011,2019,11,1,0.2962482669242311,0.3364185257939069
2019-11-02,jir011,2019,11,2,0.3221657900235882,0.3321767320409415
2019-11-02,jir011,2019,11,2,0.3273182576491164,0.3331123138613961
2019-11-02,jir011,2019,11,2,0.3425065424520827,0.3276942948450908
2019-11-02,jir011,2019,11,2,0.3512982673514251,0.3264980727840879
2019-11-02,jir011,2019,11,2,0.3424002970076449,0.3231803632913833
2019-11-02,jir011,2019,11,2,0.3142069694976407,0.3266344825622159
2019-11-02,jir011,2019,11,2,0.3476432418660283,0.3270802749554093
2019-11-03,jir011,2019,11,3,0.3438013783724604,0.3286189125648188
2019-11-08,jir011,2019,11,8,0.2598429711325747,0.3296101374937523
2019-11-09,jir011,2019,11,9,0.2922271871271246,0.3313357002615232
2019-11-09,jir011,2019,11,9,0.2580392067230044,0.324779063726734
2019-11-09,jir011,2019,11,9,0.2624048693325483,0.3300173915793771
2019-11-10,jir011,2019,11,10,0.3290039808914904,0.3298392190814055
2019-11-10,jir011,2019,11,10,0.3282073766156076,0.331543565669886
2019-11-10,jir011,2019,11,10,0.3243330067306114,0.3308771265719138
2019-11-10,jir011,2019,11,10,0.3274521336042194,0.3309313975647342
2019-11-10,jir011,2019,11,10,0.3228845780276158,0.3303639045342506
2019-11-10,jir011,2019,11,10,0.3234543117075587,0.3306718915996433
2019-11-10,jir011,2019,11,10,0.324236804951931,0.3305301234457892
2019-11-10,jir011,2019,11,10,0.2723003479509405,0.3280411309557238
2019-11-10,jir011,2019,11,10,0.3193938435612313,0.3273911785477874
2019-11-11,jir011,2019,11,11,0.3157808229782851,0.3298166731373299
2019-11-11,jir011,2019,11,11,0.3347861718715365,0.3329096653676353
2019-11-12,jir011,2019,11,12,0.2766135777082295,0.3337533807650334
2019-11-12,jir011,2019,11,12,0.2918521304867101,0.3303560601935747
2019-11-12,jir011,2019,11,12,0.2671857040830732,0.3296654963442408
2019-11-12,jir011,2019,11,12,0.2825698870099142,0.3436422818249837
2019-11-13,jir011,2019,11,13,0.3233076428125215,0.3316610664921253
2019-11-13,jir011,2019,11,13,0.3237050297077715,0.3316739525415154
2019-11-13,jir011,2019,11,13,0.325335693974524,0.3317266123034819
2019-11-13,jir011,2019,11,13,0.3246514927495391,0.3315886904283336
2019-11-13,jir011,2019,11,13,0.3228816584738739,0.3306997054679707
2019-11-14,jir011,2019,11,14,0.2387469131860402,0.323489059600152
2019-11-14,jir011,2019,11,14,0.2360119566992237,0.3218946828982229
2019-11-14,jir011,2019,11,14,0.2396598927702123,0.3216985660436435
2019-11-14,jir011,2019,11,14,0.2568204952987061,0.3229270561045554
2019-11-14,jir011,2019,11,14,0.2413122824418488,0.3238850040381157
2019-11-14,jir011,2019,11,14,0.247201589018145,0.3301724077392888
2019-11-14,jir011,2019,11,14,0.3350195880999754,0.3261312455418629
2019-11-15,jir011,2019,11,15,0.3260880067071556,0.3339073544507215
2019-11-15,jir011,2019,11,15,0.3036564097795683,0.3321603373447404
2019-11-15,jir011,2019,11,15,0.2917002991322203,0.3309323945076367
2019-11-15,jir011,2019,11,15,0.3017071685314343,0.3301851441656087
2019-11-15,jir011,2019,11,15,0.268336763454854,0.3272215783064981
2019-11-15,jir011,2019,11,15,0.2685773229466535,0.3263111632402453
2019-11-15,jir011,2019,11,15,0.2735765298529755,0.3273951086543624
2019-11-15,jir011,2019,11,15,0.3130709575145651,0.3297186228988428
2019-11-15,jir011,2019,11,15,0.29733535189772,0.3279895771329117
2019-11-15,jir011,2019,11,15,0.3261261341526855,0.3269279763255283
2019-11-15,jir011,2019,11,15,0.2967902869836026,0.3347900221495442
2019-11-16,jir011,2019,11,16,0.3286407485284975,0.3324854188349083
2019-11-16,jir011,2019,11,16,0.3289996741247664,0.3322580345911576
2019-11-16,jir011,2019,11,16,0.3311745191560118,0.3290835027751966
2019-11-16,jir011,2019,11,16,0.3316604821532667,0.3306188426660234
2019-11-16,jir011,2019,11,16,0.3278534679797691,0.3305137862607166
2019-11-16,jir011,2019,11,16,0.3341973735039936,0.3298731868083822
2019-11-16,jir011,2019,11,16,0.3270887973057097,0.3280500228400402
2019-11-16,jir011,2019,11,16,0.3306063936453123,0.3303353931494352
2019-11-16,jir011,2019,11,16,0.2945774441974736,0.3277248153355085
2019-11-16,jir011,2019,11,16,0.272890834360519,0.332190117182205
2019-11-16,jir011,2019,11,16,0.2680616687110662,0.3427776823368573
2019-11-17,jir011,2019,11,17,0.3192827492827626,0.3332330334130005
2019-11-17,jir011,2019,11,17,0.3307278051939566,0.3320272293925812
2019-11-17,jir011,2019,11,17,0.3294781507090449,0.3293819334235475
2019-11-17,jir011,2019,11,17,0.3298563403395033,0.3294797812532526
2019-11-17,jir011,2019,11,17,0.3276662142102881,0.3303711929168982
2019-11-17,jir011,2019,11,17,0.3309267248750825,0.329276942096118
