,0
1,0.2032674229168159
9,0.20313583865656515
17,0.20297249813814294
25,0.2027697700340815
33,0.20251820752462413
41,0.20220613189614192
49,0.20181917200932412
57,0.20134012066805812
65,0.2007523879301857
73,0.2000757661655053
81,0.1996841816899086
89,0.2030336304813462
97,0.2371255821219506
105,0.4022337173982602
113,0.5857243961621157
121,0.6281271848753476
129,0.6307786659461333
137,0.6275701496196094
145,0.6229159037472968
153,0.6171916165537606
161,0.610285785384906
169,0.602021329310087
177,0.5922118742792318
185,0.5806799500604277
193,0.567275108330907
201,0.5518958641286276
209,0.5345142377353941
217,0.5151996042910038
225,0.4941369842950949
233,0.4716341976383049
241,0.4481131784877337
249,0.42408356868598324
257,0.40010099201581145
265,0.37671675929837295
273,0.3544283923138768
281,0.3336400967092368
289,0.31463927937917563
297,0.2975907442736184
305,0.28254608485186417
313,0.2694632898061555
321,0.25823101028629675
329,0.24869283491769364
337,0.24066850417051958
345,0.23397059359770947
353,0.22841642326893077
361,0.2238357023889846
366,0.20075746254263735
374,0.2007521509440515
382,0.20074501126148372
390,0.20073543070129393
398,0.20072265058855754
406,0.200705954879382
414,0.20068579460569844
422,0.20066934700997904
430,0.20069678626909032
438,0.20096366157649914
446,0.20238354587535837
454,0.2090588153711573
462,0.23703332783101402
470,0.3212120358610221
478,0.4389009354574206
486,0.501906459444722
494,0.519737260504289
502,0.5233602895605183
510,0.5234767422598785
518,0.522596491884161
526,0.5211984120132246
534,0.5192894928656251
542,0.5167472076615609
550,0.5133886459807017
558,0.5089814626361379
566,0.5032454126895406
574,0.49585810480309694
582,0.4864721404921506
590,0.474749788613034
598,0.4604194153928924
606,0.44335205411151185
614,0.4236455330485381
622,0.4016900574868753
630,0.37818130229501346
638,0.3540558334056135
646,0.33035258538416795
654,0.3080399967254255
662,0.2878669717608664
670,0.2702828431820894
678,0.25543702581941974
686,0.243237265172666
694,0.23343263680580903
702,0.22569292747277012
710,0.21966927182490487
718,0.21503271653883377
726,0.21149411843981236
731,0.20128792047496716
739,0.2012878829920414
747,0.20128782399659875
755,0.20128773114200765
763,0.20128758499558225
771,0.20128735497174077
779,0.20128699293117824
787,0.2012864231074766
795,0.20128552629478363
803,0.20128411697746978
811,0.20128200403625543
819,0.2012837245024878
827,0.2015282973961873
835,0.21313149816482743
843,0.42882830963048935
851,0.5676730082074477
859,0.5723609950421192
867,0.5724076030928259
875,0.572326095437379
883,0.5721946542249909
891,0.5719878964207118
899,0.5716629394571261
907,0.571152632712235
915,0.5703522884521289
923,0.5690995957660382
931,0.5671450804511936
939,0.5641105394133573
947,0.5594350399394895
955,0.5523153704942984
963,0.5416654981424428
971,0.5261526693127104
979,0.5044090725624311
987,0.47552008827798103
995,0.43974997030471324
1003,0.39913263070234445
1011,0.35730605471569704
1019,0.3183530867700305
1027,0.2853283875709405
1035,0.25948715161011254
1043,0.24050678639089118
1051,0.22720403051813995
1059,0.2181838826310822
1067,0.21220398696878548
1075,0.20829866093642355
1083,0.20577312056240793
1091,0.2041502371097966
1096,0.20187270435846566
1104,0.20186684622064544
1112,0.2018590240637998
1120,0.20184857955051422
1128,0.2018346337680845
1136,0.2018160134023481
1144,0.20179115226258856
1152,0.20175795997527848
1160,0.2017136469908263
1168,0.20165449190534335
1176,0.20157555999792684
1184,0.2014723441972105
1192,0.20148701784945605
1200,0.21208797623380896
1208,0.45895871001789246
1216,0.5776433722968785
1224,0.5796458735715244
1232,0.579088243460144
1240,0.5783010182418359
1248,0.5772543065145471
1256,0.5758656544741377
1264,0.5740273125285196
1272,0.5716005493565202
1280,0.5684089876710748
1288,0.5642321952166486
1296,0.5588010798161397
1304,0.5517977233906874
1312,0.5428636483730251
1320,0.5316217561492003
1328,0.5177173971286011
1336,0.5008816709823899
1344,0.4810133666592138
1352,0.4582645326797376
1360,0.4331019217736929
1368,0.40631093533747575
1376,0.37891994672672513
1384,0.35205250610933136
1392,0.32674894586100495
1400,0.3038148099568098
1408,0.2837395461772156
1416,0.26669541695482507
1424,0.2525960316144106
1432,0.24118127175815912
1440,0.23210011616403145
1448,0.22497544902650457
1456,0.2194466132549532
1461,0.20176629361326281
1469,0.20176629363760473
1477,0.20176629378556135
1485,0.20176629468488202
1493,0.2017663001511981
1501,0.20176633337695188
1509,0.20176653533199468
1517,0.20176776286460438
1525,0.20177522395189085
1533,0.201820567443911
1541,0.202095918107543
1549,0.20376004547241547
1557,0.21353512003859393
1565,0.2626247433952052
1573,0.3957316129898553
1581,0.5047574300479193
1589,0.5356316867119018
1597,0.5413241495718908
1605,0.5422793231065618
1613,0.5424369829903057
1621,0.5424629330056322
1629,0.5424671954285807
1637,0.5424678731780016
1645,0.5424679085450596
1653,0.5424676678637348
1661,0.5424668302027297
1669,0.5424641086112454
1677,0.5424552959200258
1685,0.5424267668719024
1693,0.5423344341248305
1701,0.5420358412256229
1709,0.5410727001871335
1717,0.5379915033182022
1725,0.5283887494326039
1733,0.5007431817285647
1741,0.43643607019485486
1749,0.34010224346367657
1757,0.2611619521540977
1765,0.22262512322175101
1773,0.2084936432908206
1781,0.2038729278674062
1789,0.2024197651270851
1797,0.20196840015182868
1805,0.20182874413344995
1813,0.20178558523051374
1821,0.2017722524710545
1826,0.20821341721404238
1834,0.2072861300880535
1842,0.20622013804088873
1850,0.20499729541366096
1858,0.20360125227128445
1866,0.20202687448602888
1874,0.20031073384450687
1882,0.19862827638530278
1890,0.1975996559442921
1898,0.19922562299507376
1906,0.20950850501719265
1914,0.24378109454171695
1922,0.32580770069847254
1930,0.44810368222724567
1938,0.5468186774738268
1946,0.592373391040612
1954,0.605009688427653
